product_ref,filename_or_slot,shot_type,verdict,reason,target_set_position,sector,assigned_tier
Full XL Bed Frame - Metal,Bed Base Model 3.png,three_quarter_angle,REDO,"Small flat CGI render, no context, not spec-able.",4,Hotel,standard
Full XL Bed Frame - Metal,slot:texture_macro,texture_macro,MISSING,No close-up of weld and powder-coat finish.,5,Hotel,standard
Full XL Head Board,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean front hero of wall-mounted panel.,1,Hotel,long-tail
Full XL Head Board,Full XL Head Board.png,three_quarter_angle,REDO,"Dreamy bokeh CGI, watermark logo, freestanding not wall-mount.",2,Hotel,long-tail
Full XL Head Board,slot:dimension_diagram,dimension_diagram,MISSING,No width/height drawing for room layouts.,3,Hotel,long-tail
Heated Cabinet,Food Service Cabinets 2.jpg,white_seamless_hero,REDO,"Generic cabinet run, no heating evident, wrong product shown.",1,Hotel,standard
Heated Cabinet,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for buffet line planning.,2,Hotel,standard
Heated Cabinet,slot:full_room_scene,full_room_scene,MISSING,No breakfast-area context showing hot holding use.,3,Hotel,standard
Heated Cabinet,slot:three_quarter_angle,three_quarter_angle,MISSING,No angled view of actual heated holding cabinet.,4,Hotel,standard
Heated Cabinet,slot:texture_macro,texture_macro,MISSING,No detail of heated wells or controls.,5,Hotel,standard
Hot Buffet Counter,Buffet Counter - Deep Navy 1.jpg,white_seamless_hero,KEEP,"Clean isolated navy unit on white, sharp, sells form",1,Hotel,flagship
Hot Buffet Counter,slot:dimension_diagram,dimension_diagram,MISSING,No dimensioned drawing; buyers need footprint and height,2,Hotel,flagship
Hot Buffet Counter,Buffet Counter - Warm Walnet.jpg,color_finish_grid,KEEP,"Light walnut finish variant, isolated, supports finish choice",3,Hotel,flagship
Hot Buffet Counter,Buffet Counter - Deep Navy.jpg,wide_establishing,KEEP,"Navy unit in full restaurant context, sharp, no people",4,Hotel,flagship
Hot Buffet Counter,Hot Buffet Counter.jpg,full_room_scene,KEEP,"Walnut unit in styled breakfast area, sharp, on-site realism",5,Hotel,flagship
Hot Buffet Counter,Buffet Counter - Mappel Walnet.jpg,three_quarter_angle,KEEP,"Walnut three-quarter on white, sharp, shows wells and plates",6,Hotel,flagship
Hot Buffet Counter,slot:side_profile,side_profile,MISSING,No clean side view of counter depth and base,7,Hotel,flagship
Hot Buffet Counter,slot:hardware_detail,hardware_detail,MISSING,"No close-up of heated wells, glass guard, or vents",8,Hotel,flagship
Hot Buffet Counter,slot:functional_transformation,functional_transformation,MISSING,No view of insulated wells in use or plate storage,9,Hotel,flagship
Hot Buffet Counter,slot:footprint_plan,footprint_plan,MISSING,No top-down plan for layout planning,10,Hotel,flagship
King Bed Frame - MDF,DMD Axis.jpg,white_seamless_hero,KEEP,"Clean platform on white showing slats, sharp, spec-able",1,Hotel,standard
King Bed Frame - MDF,slot:dimension_diagram,dimension_diagram,MISSING,No dimensioned drawing of king platform footprint and height,2,Hotel,standard
King Bed Frame - MDF,slot:full_room_scene,full_room_scene,MISSING,No styled guestroom showing frame with mattress in context,3,Hotel,standard
King Bed Frame - MDF,DMD Bloc.jpg,three_quarter_angle,KEEP,"Walnut frame three-quarter, clean, shows panel construction",4,Hotel,standard
King Bed Frame - MDF,DMD Vault.jpg,three_quarter_angle,KEEP,"Walnut frame with deck, sharp, shows load surface",4,Hotel,standard
King Bed Frame - MDF,DMD Core.jpg,color_finish_grid,KEEP,"Gray finish variant on white, sharp, supports finish choice",5,Hotel,standard
King Bed Frame - MDF,DMD Crate.jpg,side_profile,KEEP,"Light walnut frame, clean panel sides, sharp",5,Hotel,standard
King Bed Frame - MDF,DMD Terra.jpg,color_finish_grid,KEEP,"Gray frame with deck panel, clean finish variant",5,Hotel,standard
King Bed Frame - MDF,Bed Base.png,top_down,REDO,"Tiny low-res dark CGI tile, not spec-able, off-brand",5,Hotel,standard
King Bed Frame - MDF,slot:texture_macro,texture_macro,MISSING,No close-up of laminate grain or edge-band quality,5,Hotel,standard
King Bed Frame - Metal,Bed Base Model 2.png,top_down,REDO,"Tiny dark CGI render, low-res, soft, off-brand realism",1,Hotel,standard
King Bed Frame - Metal,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean isolated hero of welded steel platform frame,1,Hotel,standard
King Bed Frame - Metal,slot:dimension_diagram,dimension_diagram,MISSING,No dimensioned drawing of platform heights and footprint,2,Hotel,standard
King Bed Frame - Metal,slot:full_room_scene,full_room_scene,MISSING,No guestroom scene showing frame with mattress,3,Hotel,standard
King Bed Frame - Metal,Bed Base Model 3.png,three_quarter_angle,REDO,"Small dark low-res CGI, no context, not spec-able commercial frame",4,Hotel,standard
King Bed Frame - Metal,slot:three_quarter_angle,three_quarter_angle,MISSING,No proper three-quarter showing weld and powder-coat finish,4,Hotel,standard
King Bed Frame - Metal,slot:texture_macro,texture_macro,MISSING,"No close-up of welds, powder-coat, or knock-down hardware",5,Hotel,standard
King MDF Headboard Unit,DMD Stratus.jpg,white_seamless_hero,KEEP,"Clean isolated headboard with floating nightstands and LED, sharp",1,Hotel,considered
King MDF Headboard Unit,slot:dimension_diagram,dimension_diagram,MISSING,"No dimensioned drawing of headboard width, height, wallguard",2,Hotel,considered
King MDF Headboard Unit,slot:material_swatch_row,material_swatch_row,MISSING,No laminate or veneer swatch row for casegoods matching,3,Hotel,considered
King MDF Headboard Unit,DMD Driftmark.jpg,full_room_scene,KEEP,"Headboard wall in styled guestroom, sharp, no people",4,Hotel,considered
King MDF Headboard Unit,DMD Shoreline.jpg,second_environment,KEEP,"Lighter finish guestroom scene, sharp, shows LED reveal",4,Hotel,considered
King MDF Headboard Unit,DMD Tidefall.jpg,second_environment,KEEP,"Styled bed wall scene, sharp, shows integrated lighting",4,Hotel,considered
King MDF Headboard Unit,DMD Seabrook.jpg,three_quarter_angle,KEEP,Angled room view showing wallguard extension and nightstands,5,Hotel,considered
King MDF Headboard Unit,slot:hardware_detail,hardware_detail,MISSING,No close-up of concealed mounting cleats or LED channel,6,Hotel,considered
King MDF Headboard Unit,slot:functional_transformation,functional_transformation,MISSING,No view of integrated nightstand drawers open or wallguard detail,7,Hotel,considered
King Upholstered Headboard Unit,King DMD main.jpg,white_seamless_hero,KEEP,"Clean front hero on white, shows full headboard-plus-nightstand unit sharply.",1,Hotel,considered
King Upholstered Headboard Unit,King DMD Regency Curve.png,white_seamless_hero,REDO,"Different tufted wingback design, mismatches modern unit; soft low-res.",1,Hotel,considered
King Upholstered Headboard Unit,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; hotel buyers need king-width and height specs.,2,Hotel,considered
King Upholstered Headboard Unit,slot:material_swatch_row,material_swatch_row,MISSING,No contract-fabric/leather options row for designer scheme matching.,3,Hotel,considered
King Upholstered Headboard Unit,King DMD Aura.jpg,full_room_scene,REDO,"Dreamy bokeh pendant lighting, residential mood, not sharp operator realism.",4,Hotel,considered
King Upholstered Headboard Unit,King DMD Element.jpg,full_room_scene,KEEP,"Clean bright room scene shows headboard in context, sharp and on-brand.",4,Hotel,considered
King Upholstered Headboard Unit,King DMD Prestige.jpg,full_room_scene,KEEP,"Sharp front studio scene, full unit with lamps reads as coordinated package.",4,Hotel,considered
King Upholstered Headboard Unit,King DMD Axis.jpg,three_quarter_angle,KEEP,"Sharp symmetric studio view, full unit with nightstands reads spec-able.",5,Hotel,considered
King Upholstered Headboard Unit,King DMD Nova.jpg,three_quarter_angle,REDO,"Warm dreamy lighting and glow bulbs, residential not contract realism.",5,Hotel,considered
King Upholstered Headboard Unit,King DMD Regency Straight.png,three_quarter_angle,REDO,"Different tufted design, off-product; soft, dull lighting, not spec realism.",5,Hotel,considered
King Upholstered Headboard Unit,King DMD Solis.jpg,three_quarter_angle,KEEP,"Sharp angled studio view, full unit with nightstands, clean and on-brand.",5,Hotel,considered
King Upholstered Headboard Unit,slot:hardware_detail,hardware_detail,MISSING,"No close-up of stitching, accent inlays, or wallguard build.",6,Hotel,considered
King Upholstered Headboard Unit,slot:functional_transformation,functional_transformation,MISSING,No view of integrated nightstand/wallguard function detail.,7,Hotel,considered
Luggage Bench,Luggage Bench 4.png,white_seamless_hero,KEEP,"Clean front hero, shows plywood edge and slatted strap top sharply.",1,Hotel,long-tail
Luggage Bench,Luggage Bench 5.png,white_seamless_hero,KEEP,"Sharp front hero, HPL top with luggage straps, edge-banded plywood clear.",1,Hotel,long-tail
Luggage Bench,Luggage Bench 1.png,side_profile,REDO,"Residential blue cushion, off-spec; product is HPL-top luggage bench.",2,Hotel,long-tail
Luggage Bench,Luggage Bench 2.png,low_hero_angle,REDO,"Reads as low coffee table, ambiguous as luggage bench; cramped crop.",2,Hotel,long-tail
Luggage Bench,Luggage Bench 3.png,three_quarter_angle,KEEP,"Clean angled studio shot, clearly an HPL-top luggage bench, spec-able.",2,Hotel,long-tail
Luggage Bench,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; buyers need bench height and width to lay out rooms.,3,Hotel,long-tail
Metal Dining Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean single front hero of the actual metal-frame dining chair.,1,Hotel,standard
Metal Dining Chair,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; buyers need seat height and footprint for layouts.,2,Hotel,standard
Metal Dining Chair,slot:full_room_scene,full_room_scene,MISSING,No breakfast-area context showing the chair at a dining table.,3,Hotel,standard
Metal Dining Chair,Dusty Blue Upholstered Accent Chair 3.jpg,three_quarter_angle,REDO,"Shows wood-leg lounge chair, not a metal dining chair; wrong product.",4,Hotel,standard
Metal Dining Chair,Image_fx (80).jpg,three_quarter_angle,REDO,"Multi-view grid of wood-leg armchair, not metal dining chair; off-spec.",4,Hotel,standard
Metal Dining Chair,Orange Upholstered Accent Chair 2.jpg,three_quarter_angle,REDO,"Wood-leg lounge chair multi-view, not metal dining chair; wrong product.",4,Hotel,standard
Metal Dining Chair,slot:texture_macro,texture_macro,MISSING,No close-up of upholstery and metal frame finish.,5,Hotel,standard
Mixed Buffet Counter,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean studio hero isolating the counter fixture for spec review.,1,Hotel,flagship
Mixed Buffet Counter,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; flagship F&B fixture needs full dimensioned spec.,2,Hotel,flagship
Mixed Buffet Counter,slot:material_swatch_row,material_swatch_row,MISSING,No wood/stone finish options row for designer specification.,3,Hotel,flagship
Mixed Buffet Counter,Mixed Buffet Counter 2.jpg,wide_establishing,KEEP,"Wide sharp view of full L-island, hot/cold layout and storage visible.",4,Hotel,flagship
Mixed Buffet Counter,Mixed Buffet Counter.jpg,full_room_scene,KEEP,"Sharp realistic buffet island, shows wood casework, sneeze guard, plate cubbies.",5,Hotel,flagship
Mixed Buffet Counter,slot:three_quarter_angle,three_quarter_angle,MISSING,No clean isolated angled hero of the counter on neutral ground.,6,Hotel,flagship
Mixed Buffet Counter,slot:side_profile,side_profile,MISSING,No side elevation showing counter depth and sneeze-guard projection.,7,Hotel,flagship
Mixed Buffet Counter,slot:hardware_detail,hardware_detail,MISSING,"No close-up of glass guard mounts, lighting, or stone edge.",8,Hotel,flagship
Mixed Buffet Counter,slot:functional_transformation,functional_transformation,MISSING,No view of hot/cold service-section function or under-counter storage.,9,Hotel,flagship
Mixed Buffet Counter,slot:footprint_plan,footprint_plan,MISSING,No top-down footprint; buyers need island plan for breakfast-room layout.,10,Hotel,flagship
Nova Blue Arm Chair,AC001-BL-nova-blue - Frount View.png,white_seamless_hero,KEEP,"Clean photoreal front hero, true blue, sharp, sells spec.",1,Hotel,standard
Nova Blue Arm Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,"Have hero, but no dimension or room or macro coverage.",1,Hotel,standard
Nova Blue Arm Chair,slot:dimension_diagram,dimension_diagram,MISSING,No spec dimensions; buyers need width/depth/seat height.,2,Hotel,standard
Nova Blue Arm Chair,slot:full_room_scene,full_room_scene,MISSING,No in-context lobby/suite scene for scale and fit.,3,Hotel,standard
Nova Blue Arm Chair,AC001-BL-nova-blue - ISO View.png,three_quarter_angle,KEEP,"Sharp 3/4 showing arms, seat depth, leg splay clearly.",4,Hotel,standard
Nova Blue Arm Chair,AC001-BL-nova-blue - Side View.png,side_profile,KEEP,"Clean side profile, accurate proportions; extra over base set.",4,Hotel,standard
Nova Blue Arm Chair,AC001-BL-nova-blue - Back View.png,back_view,KEEP,Clean back view confirms upholstery wrap; supplementary spec angle.,4,Hotel,standard
Nova Blue Arm Chair,slot:texture_macro,texture_macro,MISSING,No fabric close-up to prove performance weave.,5,Hotel,standard
Nova Green Arm Chair,AC01-GR-nova-Green-Front-View.png,white_seamless_hero,KEEP,"Clean photoreal front hero, true green, sharp, spec-able.",1,Hotel,standard
Nova Green Arm Chair,slot:dimension_diagram,dimension_diagram,MISSING,No dimensions; procurement needs width/depth/seat height.,2,Hotel,standard
Nova Green Arm Chair,slot:full_room_scene,full_room_scene,MISSING,No lobby/suite context to show scale and fit.,3,Hotel,standard
Nova Green Arm Chair,AC01-GR-nova-green-ISO View.png,three_quarter_angle,REDO,"Soft, dreamy lighting and mismatched gray backdrop; off-brand vs set.",4,Hotel,standard
Nova Green Arm Chair,AC01-GR-nova-Green-Side-View.png,side_profile,KEEP,"Clean side profile, accurate proportions; supplementary angle.",4,Hotel,standard
Nova Green Arm Chair,AC01-GR-nova-Green-Top-View.png,top_down,KEEP,Clean top-down shows seat well; minor supporting spec view.,4,Hotel,standard
Nova Green Arm Chair,slot:texture_macro,texture_macro,MISSING,No fabric macro to prove performance weave durability.,5,Hotel,standard
Open Shelf Night Stand,Open Shelf Floating Night Stand.png,white_seamless_hero,REDO,"Flat thin cutout, wrong proportions, no depth, not spec-able.",1,Hotel,long-tail
Open Shelf Night Stand,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean seamless hero; existing front shot is unusable.,1,Hotel,long-tail
Open Shelf Night Stand,Open Shelf Night Stand.png,three_quarter_angle,REDO,AI sparkle watermark and paint-smear graphic in frame; off-brand.,2,Hotel,long-tail
Open Shelf Night Stand,slot:three_quarter_angle,three_quarter_angle,MISSING,Existing 3/4 carries watermark; needs clean replacement.,2,Hotel,long-tail
Open Shelf Night Stand,slot:dimension_diagram,dimension_diagram,MISSING,No dimensions; bedside fit and shelf height unknown.,3,Hotel,long-tail
Queen Bed Frame - MDF,DMD Core.jpg,three_quarter_angle,KEEP,"Sharp 3/4 with slat platform, light-oak finish; spec-able hero angle.",1,Hotel,considered
Queen Bed Frame - MDF,Bed Base.png,low_hero_angle,REDO,"Dark muddy low-res panel render, recessed top reads off-product.",1,Hotel,considered
Queen Bed Frame - MDF,slot:white_seamless_hero,white_seamless_hero,MISSING,Have angled renders but no straight seamless hero on white.,1,Hotel,considered
Queen Bed Frame - MDF,slot:dimension_diagram,dimension_diagram,MISSING,No platform-height or footprint dimensions for housekeeping clearance.,2,Hotel,considered
Queen Bed Frame - MDF,DMD Bloc.jpg,color_finish_grid,KEEP,Clean walnut finish variant; supports finish/material range.,3,Hotel,considered
Queen Bed Frame - MDF,DMD Crate.jpg,color_finish_grid,KEEP,Medium-oak finish variant render; builds material/finish row.,3,Hotel,considered
Queen Bed Frame - MDF,DMD Terra.jpg,color_finish_grid,KEEP,Gray-oak finish with solid deck; finish-range supporting view.,3,Hotel,considered
Queen Bed Frame - MDF,DMD Vault.jpg,color_finish_grid,KEEP,"Dark-walnut finish, solid deck; rounds out finish options.",3,Hotel,considered
Queen Bed Frame - MDF,slot:full_room_scene,full_room_scene,MISSING,No dressed guestroom showing bed-wall composition in context.,4,Hotel,considered
Queen Bed Frame - MDF,DMD Axis.jpg,three_quarter_angle,KEEP,"Sharp 3/4 platform render, slat deck visible, true gray-oak finish.",5,Hotel,considered
Queen Bed Frame - MDF,slot:hardware_detail,hardware_detail,MISSING,No edge-band/joint detail proving sealed moisture-resistant construction.,6,Hotel,considered
Queen Bed Frame - MDF,slot:functional_transformation,functional_transformation,MISSING,No height-option or under-bed clearance demonstration.,7,Hotel,considered
Queen Bed Frame - Metal,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean lit hero showing welded steel powder-coat frame.,1,Hotel,standard
Queen Bed Frame - Metal,slot:dimension_diagram,dimension_diagram,MISSING,No three-height clearance or footprint dimensions for spec.,2,Hotel,standard
Queen Bed Frame - Metal,slot:full_room_scene,full_room_scene,MISSING,No guestroom context showing under-bed storage and finish.,3,Hotel,standard
Queen Bed Frame - Metal,Bed Base Model 3.png,three_quarter_angle,REDO,"Dark muddy plastic-looking render, flat lighting, no powder-coat read.",4,Hotel,standard
Queen Bed Frame - Metal,Bed Base Model 2.png,three_quarter_angle,REDO,"Low-contrast black slab, no steel realism, not spec-able.",4,Hotel,standard
Queen Bed Frame - Metal,slot:texture_macro,texture_macro,MISSING,No weld/powder-coat macro proving durability claim.,5,Hotel,standard
Queen Head Board,slot:white_seamless_hero,white_seamless_hero,MISSING,No isolated panel hero; buyer cannot see product alone.,1,Hotel,considered
Queen Head Board,slot:dimension_diagram,dimension_diagram,MISSING,No widths or heights shown for mattress-program matching.,2,Hotel,considered
Queen Head Board,slot:material_swatch_row,material_swatch_row,MISSING,"Laminate, veneer, upholstered finish options not shown.",3,Hotel,considered
Queen Head Board,DMD Aura.jpg,full_room_scene,KEEP,"Photoreal twin-room scene shows panel in context, well lit.",4,Hotel,considered
Queen Head Board,DMD Axis.jpg,full_room_scene,KEEP,"Clean front room scene, panel reads clearly, on-brand.",4,Hotel,considered
Queen Head Board,DMD Drift.jpg,full_room_scene,REDO,"Near-duplicate room scene, no spec value beyond Aura.",4,Hotel,considered
Queen Head Board,DMD Edge.jpg,full_room_scene,REDO,Robot-vacuum prop under bed distracts from headboard spec.,4,Hotel,considered
Queen Head Board,DMD Halo.jpg,full_room_scene,REDO,"Redundant angled room scene, duplicates earlier context shots.",4,Hotel,considered
Queen Head Board,DMD Haven.jpg,full_room_scene,REDO,"Robot vacuum visible, near-duplicate of other scenes.",4,Hotel,considered
Queen Head Board,DMD Mesa.jpg,full_room_scene,REDO,Robot-vacuum prop and duplicate framing dilute spec value.,4,Hotel,considered
Queen Head Board,DMD Nest.jpg,full_room_scene,REDO,"Another duplicate room scene, no new buyer information.",4,Hotel,considered
Queen Head Board,DMD Solace.jpg,full_room_scene,REDO,"Robot vacuums under both beds, distracting non-product props.",4,Hotel,considered
Queen Head Board,DMD TwinGlow.jpg,full_room_scene,REDO,"Robot vacuums and duplicate scene, no spec detail.",4,Hotel,considered
Queen Head Board,DMD Studio.jpg,second_environment,KEEP,Angled three-quarter view shows panel depth and mounting.,5,Hotel,considered
Queen Head Board,DMD Vault.jpg,three_quarter_angle,KEEP,Angled view reveals panel edge and floating nightstand cleanly.,5,Hotel,considered
Queen Head Board,slot:hardware_detail,hardware_detail,MISSING,Concealed cleat mount and edge-banding not documented.,6,Hotel,considered
Queen Head Board,slot:functional_transformation,functional_transformation,MISSING,Double-queen extension capability not demonstrated.,7,Hotel,considered
Refrigerated Cabinet,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean seamless hero of the cabinet alone.,1,Hotel,standard
Refrigerated Cabinet,slot:dimension_diagram,dimension_diagram,MISSING,"No length, depth, height for buffet-line planning.",2,Hotel,standard
Refrigerated Cabinet,slot:full_room_scene,full_room_scene,MISSING,No breakfast-area context showing service flow.,3,Hotel,standard
Refrigerated Cabinet,Food Service Cabinets 3.jpg,three_quarter_angle,KEEP,"Photoreal angled view shows wells, glass guard, finish; sells unit.",4,Hotel,standard
Refrigerated Cabinet,slot:texture_macro,texture_macro,MISSING,Stainless and laminate finish texture not shown close-up.,5,Hotel,standard
Single Drawer Night Stand,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean watermark-free hero on white seamless.,1,Hotel,long-tail
Single Drawer Night Stand,single drawer night stand.png,three_quarter_angle,REDO,Sparkle watermark graphic in corner; no open lower shelf shown.,2,Hotel,long-tail
Single Drawer Night Stand,single drawer night stand (2).png,three_quarter_angle,REDO,In-image star watermark; lacks open shelf from spec.,2,Hotel,long-tail
Single Drawer Night Stand,Nightstand.png,three_quarter_angle,REDO,"Wrong product: dark metal-frame unit, off-brand, low-res.",2,Hotel,long-tail
Single Drawer Night Stand,slot:dimension_diagram,dimension_diagram,MISSING,No dimensions for bed-wall layout planning.,3,Hotel,long-tail
Sunset Orange Arm Chair,AC01-OR - nova-Sunset-Orange - Frount View.png,white_seamless_hero,KEEP,"Clean front hero, accurate Sunset Orange, photoreal, no people.",1,Hotel,standard
Sunset Orange Arm Chair,AC01-OR-nova-Sunset-Orange-Top-view.png,top_down,KEEP,"Top-down shows seat footprint, useful for layout spacing.",2,Hotel,standard
Sunset Orange Arm Chair,slot:dimension_diagram,dimension_diagram,MISSING,No measured dimensions for guestroom and lobby spacing.,2,Hotel,standard
Sunset Orange Arm Chair,slot:full_room_scene,full_room_scene,MISSING,No lobby or lounge context showing accent chair in palette.,3,Hotel,standard
Sunset Orange Arm Chair,AC01-OR - nova-Sunset-Orange - ISO View.png,three_quarter_angle,KEEP,"Sharp three-quarter shows form, arms, tapered legs.",4,Hotel,standard
Sunset Orange Arm Chair,AC01-OR-nova-Sunset-Orange-Side-view.png,side_profile,KEEP,Clean profile shows seat depth and back rake for comfort.,4,Hotel,standard
Sunset Orange Arm Chair,slot:texture_macro,texture_macro,MISSING,Upholstery weave and durability finish not shown close-up.,5,Hotel,standard
TV Media Panel 1,TV Media Panel - 2 color 2.png,white_seamless_hero,KEEP,"Clean front hero, two-tone laminate clear, spec-able backdrop.",1,Hotel,long-tail
TV Media Panel 1,TV Media Panel - 2 color 1.png,three_quarter_angle,KEEP,Photoreal angled two-tone HPL panel with TV; sells finish layout.,2,Hotel,long-tail
TV Media Panel 1,TV Media Panel - 2 color.png,three_quarter_angle,KEEP,"Sharp angled view, dark accent finish reads well on wall.",2,Hotel,long-tail
TV Media Panel 1,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for width/height scaling to king walls.,3,Hotel,long-tail
Upholstered Dining Chair,Soft Yellow Upholstered Accent Chair 4.jpg,white_seamless_hero,KEEP,Crisp front-and-multi hero on seamless; spec-able silhouette.,1,Hotel,considered
Upholstered Dining Chair,Warm terracott Upholstered Accent Chair 360 return 1.jpg,dimension_diagram,REDO,Dimension labels are garbled gibberish text; unusable for spec.,2,Hotel,considered
Upholstered Dining Chair,slot:material_swatch_row,material_swatch_row,MISSING,No upholstery color/fabric grid for designer specification.,3,Hotel,considered
Upholstered Dining Chair,slot:full_room_scene,full_room_scene,MISSING,No breakfast-area context showing chair in use.,4,Hotel,considered
Upholstered Dining Chair,Soft blush_peac Upholstered Accent Chair 360 return.jpg,three_quarter_angle,KEEP,"Photoreal blush 360 grid, brass base sharp, prop staging clean.",5,Hotel,considered
Upholstered Dining Chair,Warm Gray and taupes Upholstered Accent Chair 360 return 6.jpg,three_quarter_angle,KEEP,"Clean taupe 360 set on white, swivel base reads true.",5,Hotel,considered
Upholstered Dining Chair,slot:hardware_detail,hardware_detail,MISSING,No close-up of brass base/leg caps for quality proof.,6,Hotel,considered
Upholstered Dining Chair,slot:functional_transformation,functional_transformation,MISSING,No swivel-action demonstration of the rotating base.,7,Hotel,considered
Vanity 1,Vanitie 1.png,white_seamless_hero,REDO,In-image sparkle watermark bottom-right; remove mark for clean hero.,1,Hotel,standard
Vanity 1,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for vanity width/height sizing.,2,Hotel,standard
Vanity 1,slot:full_room_scene,full_room_scene,MISSING,No bathroom context showing vanity installed.,3,Hotel,standard
Vanity 1,Vanitie 1.1.png,three_quarter_angle,REDO,Low-res soft thumbnail with sparkle mark; too small to spec.,4,Hotel,standard
Vanity 1,slot:texture_macro,texture_macro,MISSING,No close-up of HPL surface or marble top finish.,5,Hotel,standard
Vanity 2,Vanitie 2.png,white_seamless_hero,KEEP,"Photoreal front hero, stone top and black frame spec clearly.",1,Hotel,standard
Vanity 2,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for vanity sizing across rooms.,2,Hotel,standard
Vanity 2,slot:full_room_scene,full_room_scene,MISSING,No installed bathroom context for buyer.,3,Hotel,standard
Vanity 2,slot:three_quarter_angle,three_quarter_angle,MISSING,No angled view showing depth and side profile.,4,Hotel,standard
Vanity 2,Vanitie 2.1.png,top_down,REDO,Awkward steep top-down with sparkle mark; not a target shot.,5,Hotel,standard
Vanity 3,Vanitie 3.png,white_seamless_hero,REDO,In-image sparkle watermark bottom-right mars clean front hero.,1,Hotel,standard
Vanity 3,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for sizing the console vanity.,2,Hotel,standard
Vanity 3,slot:full_room_scene,full_room_scene,MISSING,No installed bathroom context for the buyer.,3,Hotel,standard
Vanity 3,Vanitie 3.1.png,three_quarter_angle,REDO,Low-res soft thumbnail with sparkle mark; not spec-able.,4,Hotel,standard
Vanity 3,slot:texture_macro,texture_macro,MISSING,No close-up of HPL top or frame finish.,5,Hotel,standard
Vanity 4,Vanitie 4.png,white_seamless_hero,REDO,In-image sparkle watermark bottom-right on otherwise clean hero.,1,Hotel,standard
Vanity 4,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for vanity dimensions.,2,Hotel,standard
Vanity 4,slot:full_room_scene,full_room_scene,MISSING,No installed bathroom context.,3,Hotel,standard
Vanity 4,slot:three_quarter_angle,three_quarter_angle,MISSING,No eye-level angled view showing depth and fluted front.,4,Hotel,standard
Vanity 4,Vanitie 4.1.png,top_down,REDO,"Steep top-down thumbnail, not a target shot; too small.",5,Hotel,standard
Vanity 5,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean front hero of the oak-and-stone vanity.,1,Hotel,standard
Vanity 5,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for sizing.,2,Hotel,standard
Vanity 5,slot:full_room_scene,full_room_scene,MISSING,No installed bathroom context.,3,Hotel,standard
Vanity 5,Vanitie 5.png,three_quarter_angle,REDO,Tiny low-res thumbnail; too soft and small to spec.,4,Hotel,standard
Vanity 5,slot:texture_macro,texture_macro,MISSING,No close-up of oak grain or stone top.,5,Hotel,standard
Vanity 6,Vanitie 6.png,white_seamless_hero,KEEP,"Photoreal front hero; oak body, marble top, black legs spec clearly.",1,Hotel,standard
Vanity 6,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for vanity sizing.,2,Hotel,standard
Vanity 6,slot:full_room_scene,full_room_scene,MISSING,No installed bathroom context for buyer.,3,Hotel,standard
Vanity 6,slot:three_quarter_angle,three_quarter_angle,MISSING,No eye-level angled view showing depth and side.,4,Hotel,standard
Vanity 6,Vanitie 6.1.png,top_down,REDO,Steep top-down thumbnail with sparkle mark; not a target shot.,5,Hotel,standard
Vanity 7,Vanitie 7.png,three_quarter_angle,KEEP,"Sharp photoreal vanity, oak plus black frame, brass tap, sells.",1,Hotel,standard
Vanity 7,slot:dimension_diagram,dimension_diagram,MISSING,No spec dimensions for procurement sizing.,2,Hotel,standard
Vanity 7,slot:full_room_scene,full_room_scene,MISSING,No installed guest-bath context shot.,3,Hotel,standard
Vanity 7,slot:texture_macro,texture_macro,MISSING,No HPL surface close-up for durability proof.,5,Hotel,standard
Vanity 8,Vanitie 8.png,white_seamless_hero,REDO,Sparkle watermark artifact bottom-right corner mars the hero.,1,Hotel,standard
Vanity 8,slot:dimension_diagram,dimension_diagram,MISSING,No spec dimensions for procurement sizing.,2,Hotel,standard
Vanity 8,slot:full_room_scene,full_room_scene,MISSING,No installed guest-bath context shot.,3,Hotel,standard
Vanity 8,slot:three_quarter_angle,three_quarter_angle,MISSING,Only a clean front view exists; no angled view.,4,Hotel,standard
Vanity 8,slot:texture_macro,texture_macro,MISSING,No stone-top or HPL macro for finish proof.,5,Hotel,standard
